idx_original;Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
155;9;0.3;1.363;1.39;10.0;0.067;50.0;600.0;0.0;13.0;0.0;0.0;0.9;18.0;6;39.0;0.6;30;0
156;9;0.3;1.363;1.39;40.0;0.067;50.0;800.0;0.0;13.0;0.0;0.0;0.9;18.0;6;39.0;0.6;30;0
157;10;0.19;0.0;1.258;30.0;0.0;25.0;500.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;1
158;10;0.19;0.0;1.229;30.0;0.0;25.0;500.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;1
159;10;0.19;0.0;1.258;2.0;0.0;25.0;200.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
160;10;0.19;0.0;1.258;2.0;0.0;25.0;300.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
161;10;0.19;0.0;1.258;2.0;0.0;25.0;400.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
162;10;0.19;0.0;1.258;2.0;0.0;25.0;500.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
163;10;0.19;0.0;1.258;2.0;0.0;25.0;600.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
164;10;0.19;0.0;1.258;2.0;0.0;25.0;700.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
165;10;0.19;0.0;1.258;2.0;0.0;25.0;800.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
166;10;0.19;0.0;1.229;2.0;0.0;25.0;200.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;0
167;10;0.19;0.0;1.229;2.0;0.0;25.0;300.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;0
168;10;0.19;0.0;1.229;2.0;0.0;25.0;400.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;0
169;10;0.19;0.0;1.229;2.0;0.0;25.0;500.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;0
170;10;0.19;0.0;1.229;2.0;0.0;25.0;600.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;0
171;10;0.19;0.0;1.229;2.0;0.0;25.0;700.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;0
172;10;0.19;0.0;1.229;2.0;0.0;25.0;800.0;0.232;0.6;0.0;0.0;0.0;0.0;0;160.0;0.175;12;0
173;10;0.19;0.0;1.201;2.0;0.0;25.0;200.0;0.232;0.6;0.0;0.0;0.0;0.0;0;240.0;0.175;12;0
174;10;0.19;0.0;1.201;2.0;0.0;25.0;300.0;0.232;0.6;0.0;0.0;0.0;0.0;0;240.0;0.175;12;0
175;10;0.19;0.0;1.201;2.0;0.0;25.0;400.0;0.232;0.6;0.0;0.0;0.0;0.0;0;240.0;0.175;12;0
176;10;0.19;0.0;1.201;2.0;0.0;25.0;500.0;0.232;0.6;0.0;0.0;0.0;0.0;0;240.0;0.175;12;0
177;10;0.19;0.0;1.201;2.0;0.0;25.0;600.0;0.232;0.6;0.0;0.0;0.0;0.0;0;240.0;0.175;12;0
178;10;0.19;0.0;1.201;2.0;0.0;25.0;700.0;0.232;0.6;0.0;0.0;0.0;0.0;0;240.0;0.175;12;0
179;10;0.19;0.0;1.201;2.0;0.0;25.0;800.0;0.232;0.6;0.0;0.0;0.0;0.0;0;240.0;0.175;12;0
180;10;0.19;0.0;1.258;30.0;0.0;25.0;200.0;0.232;0.6;0.0;0.0;0.0;0.0;0;80.0;0.175;12;0
